saxo_symbol,yFinance_symbol,description,exchange_id,asset_type,currency,issuer_country,eligibility_status,availability_status,eligible_universe,isa_eligible,instrument_exclusion_flag,market_cap_usd,market_cap_native,market_cap_currency,aum_usd,aum_native,aum_currency,market_cap_source,aum_source,yfinance_fundamentals_status,yfinance_fundamentals_notes,eligibility_review_status,eligibility_review_notes
SQQQ:xnas,SQQQ,ProShares UltraPro Short QQQ ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,2231516930,2231516930,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=SQQQ; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,inverse/short product keyword detected; isin still needs OpenFIGI/provider enrichment
SMCX:xnas,SMCX,Defiance Daily Target 2X Long SMCI ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,266378304,266378304,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=SMCX; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
MUU:xnas,MUU,Direxion Daily MU Bull 2X ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,6059215900,6059215900,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=MUU; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
TSLL:xnas,TSLL,Direxion Daily TSLA Bull 2X ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,5433029100,5433029100,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=TSLL; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
NVDL:xnas,NVDL,GraniteShares 2x Long NVDA Daily ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,4453494300,4453494300,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=NVDL; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
AMDL:xnas,AMDL,GraniteShares 2x Long AMD Daily ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,1636840580,1636840580,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=AMDL; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
MSFU:xnas,MSFU,Direxion Daily MSFT Bull 2X ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,962979520,962979520,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=MSFU; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
MVLL:xnas,MVLL,GraniteShares 2x Long MRVL Daily ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,560340670,560340670,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=MVLL; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
CONL:xnas,CONL,GraniteShares 2X Long COIN Daily ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,669734080,669734080,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=CONL; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
MULL:xnas,MULL,GraniteShares 2x Long MU Daily ETF,NASDAQ,Etf,USD,US,EXCLUDED,AVAILABLE,false,false,true,,,,1223746820,1223746820,USD,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_TOTAL_ASSETS,POPULATED_AUM,Yahoo symbol=MULL; quoteType=ETF; currency=USD; usd_fx=1,AUTO_EXCLUDE,leveraged product keyword detected; isin still needs OpenFIGI/provider enrichment
