saxo_symbol,yFinance_symbol,description,exchange_id,asset_type,currency,issuer_country,eligibility_status,availability_status,eligible_universe,isa_eligible,instrument_exclusion_flag,market_cap_usd,market_cap_native,market_cap_currency,aum_usd,aum_native,aum_currency,market_cap_source,aum_source,yfinance_fundamentals_status,yfinance_fundamentals_notes,eligibility_review_status,eligibility_review_notes
GOOGM:xnas,GOOGM,Alphabet Inc Dps 1/20th Int Sh Ser A Man C Pref. s,NASDAQ,Stock,USD,US,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NO_MARKET_CAP,N/A_STOCK,MISSING_MARKET_CAP,Yahoo quote had no marketCap; Yahoo symbol=GOOGM; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
GOOGN:xnas,GOOGN,Alphabet Inc 1/20th Conv Prefeered Share,NASDAQ,Stock,USD,US,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NO_MARKET_CAP,N/A_STOCK,MISSING_MARKET_CAP,Yahoo quote had no marketCap; Yahoo symbol=GOOGN; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
STRC_NEW:xnas,STRC-NEW,Strategy Inc. variable rate Series A Stretch Pfd,NASDAQ,Stock,USD,US,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NOT_RETURNED,N/A_STOCK,NO_YAHOO_QUOTE,Yahoo batch quote endpoint did not return this symbol,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
STRK:xnas,STRK,Strategy Inc. 8% Series A Perp strike Pdf,NASDAQ,Stock,USD,US,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NO_MARKET_CAP,N/A_STOCK,MISSING_MARKET_CAP,Yahoo quote had no marketCap; Yahoo symbol=STRK; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
STRD:xnas,STRD,Strategy Inc. 10% Non cum Series A Perp strike Pdf,NASDAQ,Stock,USD,US,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NO_MARKET_CAP,N/A_STOCK,MISSING_MARKET_CAP,Yahoo quote had no marketCap; Yahoo symbol=STRD; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
STRF:xnas,STRF,Strategy Inc. 10% Series A Perp strike Pdf,NASDAQ,Stock,USD,US,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NO_MARKET_CAP,N/A_STOCK,MISSING_MARKET_CAP,Yahoo quote had no marketCap; Yahoo symbol=STRF; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
ARM:xnas,ARM,Arm Holdings Limited - ADR,NASDAQ,Stock,USD,GB,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,336743890944,336743890944,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=ARM; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
ASML:xnas,ASML,ASML Holding NV - ADR,NASDAQ,Stock,USD,NL,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,681927180288,681927180288,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=ASML; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
JD:xnas,JD,JD.com Inc. - ADR,NASDAQ,Stock,USD,KY,NEEDS_UNDERLYING_CHECK,AVAILABLE,false,NEEDS_CHECK,false,35950309376,35950309376,USD,,,,YAHOO_FINANCE_QUOTE_MARKET_CAP,N/A_STOCK,POPULATED_MARKET_CAP,Yahoo symbol=JD; quoteType=EQUITY; currency=USD; usd_fx=1,NEEDS_MANUAL_REVIEW,depositary receipt/ADR/ADS/GDR keyword detected; underlying-share ISA eligibility requires review; market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment
SHOP_NEW:xnas,SHOP-NEW,Shopify Inc.,NASDAQ,Stock,USD,CA,NEEDS_MARKET_CAP_CHECK,AVAILABLE,false,true,false,,,,,,,YAHOO_FINANCE_QUOTE_NOT_RETURNED,N/A_STOCK,NO_YAHOO_QUOTE,Yahoo batch quote endpoint did not return this symbol,NEEDS_MARKET_CAP_PROVIDER_ENRICHMENT,market_cap_usd still needs market-data enrichment; operator says sub-US$5bn equities removed upstream; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide market_cap_usd; strategy universe use requires provider/manual size check
